"dataset","n_classes","classes_range","n_features","features_range","n_istances","istances_range","balance_class"
"adult","2","2","14","9-19","45222","10000+","unbalanced"
"bank","2","2","17","9-19","7842","1000-9999","very unbalanced"
"banknote","2","2","5","1-8","1372","1000-9999","balanced"
"breast cancer","2","2","30","20+","569","1-999","unbalanced"
"car","4","3-4","6","1-8","1728","1000-9999","very unbalanced"
"connect 4","3","3-4","42","20+","67557","10000+","unbalanced"
"covertype","7","5+","54","20+","581012","10000+","very unbalanced"
"default credit card","2","2","23","20+","30000","10000+","very unbalanced"
"dropout","3","3-4","36","20+","4424","1000-9999","unbalanced"
"dry bean","7","5+","16","9-19","13611","10000+","unbalanced"
"ecoli","8","5+","7","1-8","336","1-999","very unbalanced"
"glass","6","5+","9","9-19","214","1-999","very unbalanced"
"heart failure","2","2","12","9-19","299","1-999","unbalanced"
"ionosphere","2","2","34","9-19","351","1-999","unbalanced"
"iris","3","3-4","4","1-8","150","1-999","balanced"
"letter recognition","26","5+","16","9-19","20000","10000+","balanced"
"mushroom","2","2","22","20+","5644","1000-9999","balanced"
"obesity","7","5+","16","9-19","2111","1000-9999","balanced"
"poker hand","10","5+","10","9-19","1025010","10000+","very unbalanced"
"rice","2","2","7","1-8","3810","1000-9999","balanced"
"seeds","3","3-4","7","1-8","210","1-999","balanced"
"seismic bumps","2","2","18","9-19","2584","1000-9999","very unbalanced"
"shuttle","7","5+","9","9-19","58000","10000+","very unbalanced"
"spambase","2","2","57","20+","4601","1000-9999","unbalanced"
"telescope","2","2","10","9-19","19020","10000+","unbalanced"
"tic tac toe","2","2","9","9-19","958","1-999","unbalanced"
"vehicles","4","3-4","18","9-19","846","1-999","balanced"
"wine","3","3-4","13","9-19","178","1-999","balanced"
"yeast","10","5+","8","1-8","1484","1000-9999","very unbalanced"
"zoo","7","5+","16","9-19","101","1-999","very unbalanced"